row,kernel,C,gamma,degree,coef0,tol,max_iter,Training accuracy,Validation accuracy,Comments
12,linear,0.05,,3.0,0.0,0.0001,-1,0.8988,0.6667,overfitting
1,linear,0.1,,3.0,0.0,0.001,-1,0.9583,0.6667,overfitting
7,linear,0.1,,3.0,0.0,0.001,10000,0.9583,0.6667,overfitting
4,linear,0.5,,3.0,0.0,0.0001,-1,1.0,0.6667,overfitting
9,linear,0.5,,3.0,0.0,0.01,-1,1.0,0.6667,overfitting
2,linear,1.0,,3.0,0.0,0.0001,-1,1.0,0.6667,overfitting
6,linear,1.0,,3.0,0.0,0.001,5000,1.0,0.6667,overfitting
11,linear,1.0,,3.0,0.0,0.01,1000,1.0,0.6667,overfitting
8,linear,2.0,,3.0,0.0,0.0001,2000,1.0,0.6667,overfitting
10,linear,3.0,,3.0,0.0,0.001,-1,1.0,0.6667,overfitting
5,linear,5.0,,3.0,0.0,0.01,-1,1.0,0.6667,overfitting
3,linear,10.0,,3.0,0.0,0.001,-1,1.0,0.6667,overfitting
25,poly,0.1,0.01,2.0,0.0,0.001,-1,0.3452,0.1667,underfitting
31,poly,0.1,0.1,3.0,0.05,0.001,10000,0.9881,0.75,overfitting
26,poly,0.5,0.05,2.0,0.0,0.001,-1,0.9345,0.6667,overfitting
33,poly,0.5,0.05,4.0,0.1,0.01,-1,0.9881,0.75,overfitting
35,poly,1.0,0.05,5.0,0.0,0.0001,1000,1.0,0.6667,overfitting
27,poly,1.0,0.1,2.0,0.0,0.001,-1,1.0,0.75,overfitting
30,poly,1.0,0.1,3.0,0.0,0.0001,5000,1.0,0.75,overfitting
32,poly,2.0,0.01,4.0,0.0,0.001,2000,0.3452,0.1667,underfitting
34,poly,3.0,0.1,4.0,0.05,0.001,-1,1.0,0.6667,overfitting
28,poly,5.0,0.01,3.0,0.1,0.0001,-1,0.75,0.3333,adequate / needs tuning
36,poly,5.0,0.1,5.0,0.1,0.001,-1,1.0,0.6667,overfitting
29,poly,10.0,0.05,3.0,0.1,0.001,-1,1.0,0.75,overfitting
37,poly,10.0,0.2,5.0,0.0,0.001,-1,1.0,0.6667,overfitting
38,rbf,0.1,0.01,3.0,0.0,0.001,-1,0.3452,0.1667,underfitting
44,rbf,0.1,0.05,3.0,0.0,0.0001,10000,0.375,0.1667,underfitting
39,rbf,0.5,0.01,3.0,0.0,0.0001,-1,0.7679,0.5,adequate / needs tuning
46,rbf,0.5,0.1,3.0,0.0,0.01,-1,0.9345,0.75,overfitting
40,rbf,1.0,0.01,3.0,0.0,0.001,-1,0.8333,0.5,adequate / needs tuning
43,rbf,1.0,0.05,3.0,0.0,0.001,5000,0.9643,0.6667,overfitting
48,rbf,1.0,0.2,3.0,0.0,0.0001,1000,1.0,0.75,overfitting
45,rbf,2.0,0.05,3.0,0.0,0.001,2000,1.0,0.6667,overfitting
47,rbf,3.0,0.1,3.0,0.0,0.001,-1,1.0,0.6667,overfitting
41,rbf,5.0,0.01,3.0,0.0,0.001,-1,0.9702,0.6667,overfitting
49,rbf,5.0,0.2,3.0,0.0,0.001,-1,1.0,0.75,overfitting
42,rbf,10.0,0.01,3.0,0.0,0.0001,-1,1.0,0.6667,overfitting
50,rbf,10.0,0.2,3.0,0.0,0.001,-1,1.0,0.75,overfitting
13,sigmoid,0.1,0.01,,0.0,0.001,-1,0.3452,0.1667,underfitting
20,sigmoid,0.1,0.1,,0.1,0.0001,10000,0.4286,0.1667,underfitting
16,sigmoid,0.5,0.05,,0.0,0.001,-1,0.75,0.5,adequate / needs tuning
22,sigmoid,0.5,0.2,,0.1,0.01,-1,0.2738,0.0833,underfitting
14,sigmoid,1.0,0.01,,0.0,0.001,-1,0.7798,0.5,adequate / needs tuning
17,sigmoid,1.0,0.05,,0.0,0.0001,-1,0.7798,0.5,adequate / needs tuning
24,sigmoid,1.0,0.05,,0.05,0.0001,1000,0.744,0.5,adequate / needs tuning
19,sigmoid,1.0,0.1,,0.0,0.001,5000,0.4821,0.3333,underfitting
21,sigmoid,2.0,0.1,,0.0,0.001,2000,0.4107,0.25,underfitting
23,sigmoid,3.0,0.2,,0.0,0.001,-1,0.2083,0.1667,underfitting
18,sigmoid,5.0,0.05,,0.1,0.001,-1,0.7321,0.5,adequate / needs tuning
15,sigmoid,10.0,0.01,,0.0,0.001,-1,0.9583,0.6667,overfitting
