row,kernel,C,max_iter,coef0,tol,degree,Avg_Train_Acc,Avg_Val_Acc,Std_Val_Acc,gamma
27,poly,1.0,-1,0.0,0.001,2.0,1.0,0.8394444444444444,0.0881549561641108,0.1
29,poly,10.0,-1,0.1,0.001,3.0,1.0,0.8377777777777778,0.08807964970047295,0.05
30,poly,1.0,5000,0.0,0.0001,3.0,1.0,0.8344444444444444,0.08712839964495707,0.1
31,poly,0.1,10000,0.05,0.001,3.0,0.990740740740741,0.8222222222222224,0.08854098583616236,0.1
42,rbf,10.0,-1,0.0,0.0001,3.0,0.9980246913580249,0.8199999999999998,0.0889305457945055,0.01
47,rbf,3.0,-1,0.0,0.001,3.0,1.0,0.8172222222222222,0.0836272594225024,0.1
45,rbf,2.0,2000,0.0,0.001,3.0,0.9998148148148149,0.8166666666666668,0.0810806639962579,0.05
33,poly,0.5,-1,0.1,0.01,4.0,0.990740740740741,0.8116666666666668,0.08988847685663016,0.05
34,poly,3.0,-1,0.05,0.001,4.0,1.0,0.8066666666666665,0.08800953932583488,0.1
2,linear,1.0,-1,0.0,0.0001,3.0,1.0,0.8033333333333335,0.08903460278918056,
3,linear,10.0,-1,0.0,0.001,3.0,1.0,0.8033333333333335,0.08903460278918056,
6,linear,1.0,5000,0.0,0.001,3.0,1.0,0.8033333333333335,0.08903460278918056,
8,linear,2.0,2000,0.0,0.0001,3.0,1.0,0.8033333333333335,0.08903460278918056,
10,linear,3.0,-1,0.0,0.001,3.0,1.0,0.8033333333333335,0.08903460278918056,
5,linear,5.0,-1,0.0,0.01,3.0,1.0,0.8027777777777778,0.0900531393191518,
11,linear,1.0,1000,0.0,0.01,3.0,1.0,0.8027777777777778,0.0900531393191518,
4,linear,0.5,-1,0.0,0.0001,3.0,1.0,0.8011111111111111,0.08755245341374182,
9,linear,0.5,-1,0.0,0.01,3.0,1.0,0.8005555555555556,0.08857409536862552,
41,rbf,5.0,-1,0.0,0.001,3.0,0.9609876543209874,0.7938888888888889,0.09272786415163167,0.01
1,linear,0.1,-1,0.0,0.001,3.0,0.9500617283950616,0.7888888888888889,0.09654526220545981,
7,linear,0.1,10000,0.0,0.001,3.0,0.9500617283950616,0.7888888888888889,0.09654526220545981,
26,poly,0.5,-1,0.0,0.001,2.0,0.9353703703703702,0.7877777777777777,0.09275615183751267,0.05
49,rbf,5.0,-1,0.0,0.001,3.0,1.0,0.7855555555555556,0.08462699566368717,0.2
50,rbf,10.0,-1,0.0,0.001,3.0,1.0,0.7855555555555556,0.08462699566368717,0.2
43,rbf,1.0,5000,0.0,0.001,3.0,0.9617901234567899,0.7855555555555556,0.08958753220133883,0.05
15,sigmoid,10.0,-1,0.0,0.001,,0.9465432098765432,0.7827777777777779,0.10002931669031266,0.01
36,poly,5.0,-1,0.1,0.001,5.0,1.0,0.7800000000000001,0.09226906440900752,0.1
48,rbf,1.0,1000,0.0,0.0001,3.0,1.0,0.7711111111111112,0.08288024977320674,0.2
37,poly,10.0,-1,0.0,0.001,5.0,1.0,0.7683333333333333,0.09814797344498775,0.2
46,rbf,0.5,-1,0.0,0.01,3.0,0.9361728395061728,0.7622222222222221,0.09029444290626687,0.1
35,poly,1.0,1000,0.0,0.0001,5.0,1.0,0.7583333333333333,0.09949719271429064,0.05
12,linear,0.05,-1,0.0,0.0001,3.0,0.8817283950617285,0.7416666666666666,0.1001156738385561,
40,rbf,1.0,-1,0.0,0.001,3.0,0.8224074074074074,0.703888888888889,0.09939787860716615,0.01
17,sigmoid,1.0,-1,0.0,0.0001,,0.744135802469136,0.6627777777777779,0.0940367015296044,0.05
24,sigmoid,1.0,1000,0.05,0.0001,,0.7304320987654321,0.6555555555555556,0.0974996043043569,0.05
16,sigmoid,0.5,-1,0.0,0.001,,0.722716049382716,0.6288888888888889,0.10210137784586794,0.05
18,sigmoid,5.0,-1,0.1,0.001,,0.7365432098765433,0.6022222222222223,0.0992938027233284,0.05
28,poly,5.0,-1,0.1,0.0001,3.0,0.7059259259259258,0.5594444444444444,0.11419471134323794,0.01
14,sigmoid,1.0,-1,0.0,0.001,,0.7040123456790123,0.5461111111111112,0.1201991659961617,0.01
39,rbf,0.5,-1,0.0,0.0001,3.0,0.6673456790123456,0.525,0.11821068239418452,0.01
19,sigmoid,1.0,5000,0.0,0.001,,0.4569135802469136,0.40944444444444444,0.09802210635021742,0.1
21,sigmoid,2.0,2000,0.0,0.001,,0.4053703703703704,0.37888888888888883,0.09341927260382174,0.1
25,poly,0.1,-1,0.0,0.001,2.0,0.40419753086419763,0.2800000000000001,0.14506703431325962,0.01
20,sigmoid,0.1,10000,0.1,0.0001,,0.3920987654320988,0.2788888888888889,0.09128033066018165,0.1
38,rbf,0.1,-1,0.0,0.001,3.0,0.4,0.2783333333333334,0.13821949800816682,0.01
44,rbf,0.1,10000,0.0,0.0001,3.0,0.41030864197530875,0.27777777777777785,0.13425606637327303,0.05
13,sigmoid,0.1,-1,0.0,0.001,,0.3959876543209877,0.2755555555555556,0.13003323411846926,0.01
32,poly,2.0,2000,0.0,0.001,4.0,0.3885185185185186,0.2611111111111111,0.10467468711898208,0.01
22,sigmoid,0.5,-1,0.1,0.01,,0.240679012345679,0.21166666666666667,0.08843460302588393,0.2
23,sigmoid,3.0,-1,0.0,0.001,,0.20382716049382715,0.19333333333333336,0.08183090062009764,0.2
